"","MA/G252/93","FI/338/95","LY/2279/95","NA/933/95","WU/359B/95","BR/8/96","SP/1/96","AU/10/97","SY/5A/97","SY/5B/97","SY/5HAY/97","SY/5V/97","NL/5/98","MW/10/99","PM/2007/99","NL/118/01","NL/124/01","NL/126/01","FU/411/02","NL/1/02","NL/22/03"
"MA/G252/93","1076","480","1600","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/372/93","640","480","1280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NL/399/93","320","400","280","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"EN/7/94","*","640","2240","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"FI/338/95","320","1177","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"FI/339/95","*","640","1109","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"FI/381/95","*","749","1109","100","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/49/95","*","1037","3840","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/55/95","*","826","558","567","*","1280","1280","320","*","80","*","*","1280","*","*","*","*","*","*","*","*"
"LY/2279/95","*","1071","794","124","*","640","204","*","*","320","*","120","366","*","*","*","*","*","*","*","*"
"NA/933/95","*","*","*","613","*","*","1600","55","160","80","*","90","1817","*","*","*","*","*","*","*","*"
"NL/271/95","*","599","4480","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"WU/359/95","*","427","177","481","2560","970","861","320","113","320","60","*","1810","20","*","*","*","*","*","*","*"
"BR/8/96","*","*","162","389","*","640","*","640","*","320","*","*","160","*","*","*","*","*","*","*","*"
"GE/3958/96","*","757","610","1214","*","2560","2560","1280","*","320","*","*","5120","*","*","*","*","*","*","*","*"
"HK/20/96","*","554","614","473","*","1280","1280","640","*","1002","*","*","1280","*","*","*","*","*","*","*","*"
"HK/357/96","*","784","960","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"HK/358/96","*","240","320","240","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"LY/1781/96","*","560","569","905","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SP/1/96","*","*","488","505","*","685","747","*","*","320","*","100","*","*","*","*","*","*","*","*","*"
"AU/10/97","*","*","*","*","*","80","*","4434","*","2560","*","7680","196","*","*","*","*","*","*","*","*"
"HK/1/97","*","80","400","513","*","1280","1280","320","*","105","*","*","1846","*","*","*","*","*","*","*","*"
"HK/280/97","*","*","320","516","*","923","640","640","*","320","*","*","923","*","*","*","*","*","*","*","*"
"JO/10/97","*","253","264","278","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"NE/491/97","*","*","320","378","*","462","640","640","*","250","*","*","923","*","*","*","*","*","*","*","*"
"NL/300/97","*","*","63","*","*","115","48","3880","*","2560","*","2560","211","*","*","*","*","*","*","*","*"
"OS/21/97","*","1120","402","453","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"OS/244/97","*","560","368","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"SY/5/97","*","70","45","*","320","80","*","3880","3541","3880","3840","2880","88","1353","2032","1466","1600","640","160","480","320"
"NL/5/98","*","1120","422","383","1810","1280","2104","79","160","164","60","80","3056","80","*","*","30","*","<10","*","10"
"NL/414/98","*","*","*","640","320","*","67","3413","1533","2560","1280","3200","*","1934","*","*","*","*","*","*","*"
"NL/427/98","*","*","*","30","*","*","30","2560","2217","1280","1280","2560","115","*","*","*","*","*","*","*","*"
"NL/462/98","*","*","*","960","80","*","*","*","3004","7680","960","*","*","1604","1280","*","*","*","80","*","320"
"MW/10/99","*","*","*","*","80","*","*","*","1201","*","*","*","160","*","403","1197","960","599","40","480","160"
"NL/301/99","*","*","*","*","80","*","*","*","1874","*","*","*","320","2486","1280","1920","*","2560","*","1280","*"
"PM/2007/99","*","*","*","*","*","*","*","*","1753","*","*","*","*","1465","2189","2933","2240","2217","40","2560","320"
"NL/3/00","*","*","35","320","80","*","*","*","458","*","*","*","80","694","*","*","*","*","*","*","*"
"NL/118/01","*","*","*","*","*","*","*","*","*","*","*","*","*","3505","3387","2933","3840","2024","*","1280","*"
"NL/124/01","*","*","80","160","160","*","40","*","480","*","*","*","*","1440","640","1440","1011","960","640","*","640"
"NL/126/01","*","*","*","*","*","*","*","*","669","*","*","*","*","784","847","1339","1440","1358","*","960","*"
"FU/411/02","*","*","<10","<10","<10","*","10","*","*","*","*","*","*","160","320","*","560","*","2971","*","2342"
"NL/1/02","*","*","37","166","120","*","15","*","240","*","*","*","*","640","320","480","320","480","320","640","560"
"NL/120/02","*","*","*","*","*","*","*","*","1920","*","*","*","*","1920","1920","1920","*","1920","*","1920","*"
"FI/170/03","*","*","20","20","20","*","<10","*","*","*","*","*","*","1280","1280","*","640","*","5120","*","5120"
"NL/20/03","*","*","160","200","280","*","160","*","800","*","*","*","*","1440","1280","2240","2021","1440","320","*","1120"
"NL/22/03","*","*","40","25","25","*","15","*","60","*","*","*","*","160","113","70","*","80","3225","*","3225"
"NL/213/03","*","*","50","70","40","*","25","*","*","*","*","*","*","640","1280","*","1600","*","8127","*","5941"
"NL/217/03","*","*","15","15","15","*","<10","*","*","*","*","*","*","640","640","*","560","*","4064","*","4064"
"NL/222/03","*","*","60","50","30","*","30","*","200","*","*","*","*","358","392","960","504","280","6709","*","5941"
